Title,Year,Genres,Rating,NumVotes
The Stranger,1946,"Crime,Drama,Film-Noir",7.4,24265
The Bishop's Wife,1947,"Comedy,Drama,Fantasy",7.6,15213
Black Narcissus,1947,Drama,7.8,22131
Dark Passage,1947,"Film-Noir,Thriller",7.5,17806
Gentleman's Agreement,1947,"Drama,Romance",7.2,14860
Germany Year Zero,1948,"Drama,War",7.9,10813
The Ghost and Mrs. Muir,1947,"Comedy,Drama,Fantasy",7.9,15925
Miracle on 34th Street,1947,"Comedy,Drama,Family",7.9,41773
Monsieur Verdoux,1947,"Comedy,Crime,Drama",7.9,16004
Out of the Past,1947,"Crime,Drama,Film-Noir",8.0,33077
The Paradine Case,1947,"Crime,Drama,Romance",6.6,10181
Abbott and Costello Meet Frankenstein,1948,"Comedy,Fantasy,Horror",7.4,14876
Fort Apache,1948,"Action,Adventure,Western",7.5,16500
Hamlet,1948,Drama,7.6,15415
Key Largo,1948,"Action,Crime,Drama",7.8,37148
Bicycle Thieves,1948,Drama,8.3,147684
The Lady from Shanghai,1947,"Crime,Drama,Film-Noir",7.6,27239
Letter from an Unknown Woman,1948,"Drama,Romance",8.0,11105
Mr. Blandings Builds His Dream House,1948,"Comedy,Romance",7.3,10428
The Naked City,1948,"Crime,Drama,Film-Noir",7.6,12235
Oliver Twist,1948,Drama,7.8,11435
Red River,1948,"Action,Adventure,Drama",7.8,28337
The Red Shoes,1948,"Drama,Music,Romance",8.1,31225
Rope,1948,"Crime,Drama,Mystery",8.0,130643
The Treasure of the Sierra Madre,1948,"Adventure,Drama,Western",8.2,114937
Drunken Angel,1948,"Crime,Drama,Romance",7.7,10598
Adam's Rib,1949,"Comedy,Drama,Romance",7.5,19564
The Adventures of Ichabod and Mr. Toad,1949,"Animation,Comedy,Family",7.0,13416
All the King's Men,1949,"Drama,Film-Noir",7.5,13407
Late Spring,1949,Drama,8.3,14724
The Heiress,1949,"Drama,Romance",8.2,14029
Kind Hearts and Coronets,1949,"Comedy,Crime",8.0,34660
Stray Dog,1949,"Crime,Drama,Mystery",7.9,15429
On the Town,1949,"Comedy,Musical,Romance",7.4,16152
Orpheus,1950,"Drama,Fantasy,Romance",8.0,10867
She Wore a Yellow Ribbon,1949,Western,7.3,16052
The Third Man,1949,"Film-Noir,Mystery,Thriller",8.1,159522
Twelve O'Clock High,1949,"Drama,War",7.7,12206
White Heat,1949,"Action,Crime,Drama",8.1,29974
All About Eve,1950,Drama,8.2,121240
The Asphalt Jungle,1950,"Crime,Drama,Film-Noir",7.9,24142
Cinderella,1950,"Animation,Family,Fantasy",7.3,146632
D.O.A.,1949,"Drama,Film-Noir,Mystery",7.3,10869
Father of the Bride,1950,"Comedy,Romance",7.2,10099
Gun Crazy,1950,"Crime,Drama,Film-Noir",7.6,11869
Harvey,1950,"Comedy,Drama,Fantasy",7.9,52692
In a Lonely Place,1950,"Drama,Film-Noir,Mystery",8.0,27090
Diary of a Country Priest,1951,Drama,7.9,10198
Night and the City,1950,"Crime,Film-Noir,Mystery",7.9,12110
Los Olvidados,1950,"Crime,Drama",8.3,18537
Rashomon,1950,"Crime,Drama,Mystery",8.2,153706
Rio Grande,1950,"Romance,Western",7.1,14563
Stage Fright,1950,"Film-Noir,Mystery,Thriller",7.1,12856
Sunset Blvd.,1950,"Drama,Film-Noir",8.4,202938
Winchester '73,1950,"Action,Drama,Western",7.6,16860
The African Queen,1951,"Adventure,Drama,Romance",7.7,71837
Alice in Wonderland,1951,"Adventure,Animation,Family",7.4,129746
An American in Paris,1951,"Drama,Musical,Romance",7.2,30706
Ace in the Hole,1951,"Drama,Film-Noir",8.1,31802
The Day the Earth Stood Still,1951,"Drama,Sci-Fi",7.7,76475
Forbidden Games,1952,"Comedy,Drama,War",8.0,11173
A Place in the Sun,1951,"Drama,Romance",7.8,20367
Quo Vadis,1951,"Biography,Drama,History",7.2,13721
A Christmas Carol,1951,"Drama,Fantasy",8.1,20565
Strangers on a Train,1951,"Crime,Film-Noir,Thriller",7.9,123815
A Streetcar Named Desire,1951,Drama,8.0,99664
The Thing from Another World,1951,"Horror,Sci-Fi",7.1,26045
The Bad and the Beautiful,1952,"Drama,Romance",7.8,13440
The Greatest Show on Earth,1952,"Drama,Family,Romance",6.6,13073
High Noon,1952,"Drama,Thriller,Western",7.9,97664
Ikiru,1952,Drama,8.3,69172
The Lavender Hill Mob,1951,"Comedy,Crime",7.6,12923
Limelight,1952,"Drama,Music,Romance",8.1,18374
Monkey Business,1952,"Comedy,Sci-Fi",7.0,12957
The Naked Spur,1953,"Thriller,Western",7.3,10183
The Quiet Man,1952,"Comedy,Drama,Romance",7.7,34904
Singin' in the Rain,1952,"Comedy,Musical,Romance",8.3,220447
Umberto D.,1952,Drama,8.2,23179
Viva Zapata!,1952,"Biography,Drama,History",7.4,10402
The Band Wagon,1953,"Comedy,Musical,Romance",7.5,10176
The Big Heat,1953,"Crime,Film-Noir,Thriller",8.0,23845
Fear and Desire,1953,"Drama,Thriller,War",5.5,10318
From Here to Eternity,1953,"Drama,Romance,War",7.6,43651
Gentlemen Prefer Blondes,1953,"Comedy,Musical,Romance",7.2,32037
House of Wax,1953,Horror,7.1,16350
How to Marry a Millionaire,1953,"Comedy,Drama,Romance",6.9,20617
I Confess,1953,"Crime,Drama,Thriller",7.3,19214
Julius Caesar,1953,"Biography,Drama,History",7.3,10474
Niagara,1953,"Film-Noir,Thriller",7.0,14941
Peter Pan,1953,"Adventure,Animation,Family",7.3,127515
Pickup on South Street,1953,"Crime,Film-Noir,Thriller",7.7,13049
Roman Holiday,1953,"Comedy,Romance",8.0,127978
The Wages of Fear,1953,"Adventure,Drama,Thriller",8.1,55025
Shane,1953,"Drama,Western",7.6,37226
Summer with Monika,1953,"Drama,Romance",7.5,12927
Stalag 17,1953,"Comedy,Drama,War",8.0,51202
Tokyo Story,1953,Drama,8.2,53792
Ugetsu,1953,"Drama,Fantasy,War",8.3,21073
Monsieur Hulot's Holiday,1953,Comedy,7.4,16922
I Vitelloni,1953,"Comedy,Drama",7.9,16310
The War of the Worlds,1953,"Action,Sci-Fi,Thriller",7.1,32845
"20,000 Leagues Under the Sea",1954,"Adventure,Drama,Family",7.2,29610
The Caine Mutiny,1954,"Drama,War",7.7,24438
Creature from the Black Lagoon,1954,"Horror,Sci-Fi",7.0,26995
Diabolique,1955,"Crime,Drama,Horror",8.0,61739
Dial M for Murder,1954,"Crime,Thriller",8.2,159492
Godzilla,1954,"Action,Horror,Sci-Fi",7.6,29606
Johnny Guitar,1954,"Drama,Western",7.7,15756
On the Waterfront,1954,"Crime,Drama,Thriller",8.1,142959
Rear Window,1954,"Mystery,Thriller",8.4,446762
River of No Return,1954,"Action,Adventure,Drama",6.6,10568
Sabrina,1954,"Comedy,Drama,Romance",7.7,59744
Sansho the Bailiff,1954,Drama,8.4,14621
Seven Brides for Seven Brothers,1954,"Comedy,Drama,Musical",7.4,21420
Seven Samurai,1954,"Action,Adventure,Drama",8.6,317704
A Star Is Born,1954,"Drama,Musical,Romance",7.6,16043
La Strada,1954,Drama,8.0,58623
Them!,1954,"Horror,Sci-Fi",7.2,20039
White Christmas,1954,"Comedy,Musical,Romance",7.6,34591
The Wild One,1953,"Crime,Drama,Romance",6.8,14724
All That Heaven Allows,1955,"Drama,Romance",7.6,13437
Animal Farm,1954,"Animation,Drama",7.2,15622
Bad Day at Black Rock,1955,"Crime,Drama,Mystery",7.7,19479
Bob le Flambeur,1956,"Crime,Drama,Thriller",7.7,10914
Rififi,1955,"Crime,Drama,Thriller",8.1,29328
East of Eden,1955,Drama,7.9,40597
Guys and Dolls,1955,"Comedy,Crime,Musical",7.1,15858
Killer's Kiss,1955,"Crime,Drama,Film-Noir",6.6,21568
Kiss Me Deadly,1955,"Crime,Film-Noir,Mystery",7.6,18745
Lady and the Tramp,1955,"Adventure,Animation,Comedy",7.3,123820
